,Year,Statistic,Name,Team,Value
733,1983,Games,Dan Quisenberry,Kansas City,69
734,1983,Saves,Dan Quisenberry,Kansas City,45
735,1983,Shutouts,Mike Boddicker,Baltimore,5
736,1983,Strikeouts,Jack Morris,Detroit,232
737,1983,Winning Percentage,Richard Dotson,Chicago,.759
738,1983,Wins,La Marr Hoyt,Chicago,24
739,1984,Complete Games,Charlie Hough,Texas,17
740,1984,ERA,Mike Boddicker,Baltimore,2.79
741,1984,Games,Willie Hernandez,Detroit,80
742,1984,Saves,Dan Quisenberry,Kansas City,44
743,1984,Shutouts,Bob Ojeda,Boston,5
744,1984,Shutouts,Geoff Zahn,California,5
745,1984,Strikeouts,Mark Langston,Seattle,204
746,1984,Winning Percentage,Doyle Alexander,Toronto,.739
747,1984,Wins,Mike Boddicker,Baltimore,20
748,1985,Complete Games,Bert Blyleven,Cleveland,24
749,1985,Complete Games,Bert Blyleven,Minnesota,24
750,1985,ERA,Dave Stieb,Toronto,2.48
751,1985,Games,Dan Quisenberry,Kansas City,84
752,1985,Saves,Dan Quisenberry,Kansas City,37
